Flash Card Data

============================================
The process:
1. English word followed by a comma
2. hiragana word; then carriage return
3. upload into Quzlet
4. update each item and add (kanji) to defn side.
5. Back-record the kanji to the this CSV data sheet
6. Save all the things
============================================
---> Kanji Set 1.x
一,いち
しそう,思想 (thought/idea)


---> Kanji Set 2.3 - P47 kanji - hiragana
飲む,のむ (to drink)
飲食店,いんしょくてん (restaurant)
着る,きる (to wear)
着く,つく (to arrive)
到着する,とうちゃく (to arrive)
買う,かう (to buy)
売買する,ばいばい (to buy and sell)
見る,みる (to look)
見学する,けんがく (to visit/tour)
聞く,きく (to hear/to listen)
新聞,しんぶん (newspaper)
読む,よむ (to read)
読書する,どくしょ (to read books)
話す,はなす (to speak)
電話する,でんわ (to call)
待つ,まつ (to wait)
招待する,しょうたい (to invite)
会う,あう (to meet)
会社,かいしゃ (company)
休む,やすむ (to rest/to be absent)
休日,きゅうじつ (holiday)
作る,つくる (to make/to produce)
作文,さくぶん (composition)
帰る,かえる (to go/come back)
帰国する,きこく (to return to one's home country)
知る,しる (to know)
知人,ちじん (acquiantance)
住む,すむ (to live)
住所,じゅうしょ (address)
思う,おむう (to think)
思想,しそう (thought/idea)



============================================
---> Kanji Set 2.1 - P43 English - Hiragana
I,わたし　（私）
private,しりつ　（市立）
what,なに　（何）
[particle],が　（何）
to study,まなぶ　（学ぶ）
student,がくせい　（学生）
ahead,さき　（先）
teacher,せんせい　（先生）
school,がっこう　（学校）
station,えき　（駅）
house,いえ　（家）
family,かぞく　（家族）
bank,ぎんこう　（銀行）
illness/disease,やまい　（病）
illness/disease,びょうき　（病気）
hospital,びょういん　（病院）
to teach,おしえる　（教える）
classroom,きょうしつ　（教室）
~room,〜しつ　（〜室）
telephone,でんわ　（電話）
100 yen,ひゃくえん　（百円）
country,くに　（国）
one's homeland mother country,ぼこく　（母国）
outside,そと　（外）
foreign country,がいこく　（外国）
inside,うち　（内）
to guide/to show,あんない　（案内する）


---> Kanji Set 2.1 - P43 Hiragana - Kanji
わたし,私　(I)
しりつ,市立　(private)
なに,何　(what)
が,何　([particle])
まなぶ,学ぶ　(to study)
がくせい,学生　(student)
さき,先　(ahead)
せんせい,先生　(teacher)
がっこう,学校　(school)
えき,駅　(station)
いえ,家　(house)
かぞく,家族　(family)
ぎんこう,銀行　(bank)
やまい,病　(illness/disease)
びょうき,病気　(illness/disease)
びょういん,病院　(hospital)
おしえる,教える　(to teach)
きょうしつ,教室　(classroom)
〜しつ,〜室　(~room)
でんわ,電話　(telephone)
ひゃくえん,百円　(100 yen)
くに,国　(country)
ぼこく,母国　(one's homeland mother country)
そと,外　(outside)
がいこく,外国　(foreign country)
うち,内　(inside)
あんない,案内する　(to guide/to show)


---> Kanji Set 2.1 - P43 Kanji - Hiragana
私,わたし (I)
市立,しりつ (private)
何,なに (what)
何,が ([particle])
学ぶ,まなぶ (to study)
学生,がくせい (student)
先,さき (ahead)
先生,せんせい (teacher)
学校,がっこう (school)
駅,えき (station)
家,いえ (house)
家族,かぞく (family)
銀行,ぎんこう (bank)
病,やまい (illness/disease)
病気,びょうき (illness/disease)
病院,びょういん (hospital)
教える,おしえる (to teach)
教室,きょうしつ (classroom)
〜室,〜しつ (~room)
電話,でんわ (telephone)
百円,ひゃくえん (100 yen)
国,くに (country)
母国,ぼこく (one's homeland mother country)
外,そと (outside)
外国,がいこく (foreign country)
内,うち (inside)
案内する,あんない (to guide/to show)



============================================
L1 vocabulary - (English - Japanese)
=============================================
heavy,おもい　（重い）
light,かるい　（軽い）
dangerous,あぶない　（危ない）
busy,いそがしい　（忙しい）
sad,かなし　（悲しい）
happy,うれしい　（嬉しい）
enjoyable,たのしい　（楽しい）
lonely,さびしい　（寂しい）
painful,いたい　（痛い）
free time,ひま　（暇）
